saison_id,saison,liga_id,liga,spiel_id,datum,heim,gast,name,bahn1,bahn2,bahn3,bahn4,gesammt
10,2024,3239,Männer - Bayernliga Süd,211603,14.09.2024,Blau Weiß Hofdorf 1,SKK Mörslingen 1,"Kammermeier, Andreas",146,128,120,130,524
10,2024,3239,Männer - Bayernliga Süd,211603,14.09.2024,Blau Weiß Hofdorf 1,SKK Mörslingen 1,"Engelmayer, Andreas",130,131,119,118,498
10,2024,3239,Männer - Bayernliga Süd,211603,14.09.2024,Blau Weiß Hofdorf 1,SKK Mörslingen 1,"Seppenhauser, Dominik",142,133,164,131,570
10,2024,3239,Männer - Bayernliga Süd,211603,14.09.2024,Blau Weiß Hofdorf 1,SKK Mörslingen 1,"Steinbinder, Bernd",117,133,139,125,514
10,2024,3239,Männer - Bayernliga Süd,211603,14.09.2024,Blau Weiß Hofdorf 1,SKK Mörslingen 1,"Seidl, Philipp",130,106,131,142,509
10,2024,3239,Männer - Bayernliga Süd,211603,14.09.2024,Blau Weiß Hofdorf 1,SKK Mörslingen 1,"Frank, Fabian",154,136,126,114,530
10,2024,3239,Männer - Bayernliga Süd,211603,14.09.2024,Blau Weiß Hofdorf 1,SKK Mörslingen 1,"Fürst jun., Christian",129,149,135,121,534
10,2024,3239,Männer - Bayernliga Süd,211603,14.09.2024,Blau Weiß Hofdorf 1,SKK Mörslingen 1,"Karmann, Daniel",149,141,145,130,565
10,2024,3239,Männer - Bayernliga Süd,211604,14.09.2024,FC Bayern München 1,TSV-SKC Baar-Ebenhaus. 1,"Mihaila, Dan-Ioan",139,144,157,156,596
10,2024,3239,Männer - Bayernliga Süd,211604,14.09.2024,FC Bayern München 1,TSV-SKC Baar-Ebenhaus. 1,"Meuth, Patrick",138,142,127,142,549
10,2024,3239,Männer - Bayernliga Süd,211604,14.09.2024,FC Bayern München 1,TSV-SKC Baar-Ebenhaus. 1,"Danner, Leonard",121,146,144,143,554
10,2024,3239,Männer - Bayernliga Süd,211604,14.09.2024,FC Bayern München 1,TSV-SKC Baar-Ebenhaus. 1,"Gärtner, Matthias",159,150,143,134,586
